player,pos,club,cat,age,band,pick,live,K,d_live_K,P,d_K_P,R,d_P_R,candidate,d_R_cand,d_live_cand,d_K_cand
Finn Callaghan,MID,GWS,,23,0,3,6062,5512,-550,5516,4,5516,0,5516,0,-546,4
Finnegan Davis,SD,GWS,,19,7,51,165,84,-81,84,0,84,0,84,0,-81,0
Fred Rodriguez,SF,West Coast,,19,7,1,201,97,-104,97,0,97,0,97,0,-104,0
George Hewett,MID,Carlton,,31,5,32,2056,1928,-128,1928,0,1928,0,1928,0,-128,0
Gryan Miers,SF,Geelong,,27,7,57,1650,1524,-126,1524,0,1524,0,1524,0,-126,0
Harley Barker,MID,Geelong,,19,4,24,677,481,-196,481,0,481,0,481,0,-196,0
Harris Andrews,KPD,Brisbane,Academy,30,7,60,1623,1521,-102,1521,0,1521,0,1521,0,-102,0
Harrison Coe,RUCK,Collingwood,,27,7,8,322,266,-56,266,0,266,0,266,0,-56,0
Harrison Himmelberg,SD,GWS,Academy,30,3,16,138,145,7,145,0,145,0,145,0,7,0
Harrison Ramm,KPD,Port Adelaide,,20,7,3,545,438,-107,391,-47,402,11,402,0,-143,-36
Harry Charleson,SD,Carlton,,20,7,3,105,109,4,109,0,109,0,109,0,4,0
Harry Dean,KPD,Carlton,Father-Son,19,0,3,2577,2403,-174,3069,666,3069,0,3069,0,492,666
Harry DeMattia,MID,Collingwood,,21,4,25,430,331,-99,331,0,331,0,331,0,-99,0
Harry McKay,KPF,Carlton,,29,2,10,1735,1636,-99,1636,0,1636,0,1636,0,-99,0
Harry Sheezel,SF,North Melbourne,,22,0,3,11764,10428,-1336,10433,5,10433,0,10433,0,-1331,5
Harvey Thomas,SF,GWS,Academy,21,7,59,2247,1954,-293,1958,4,1958,0,1958,0,-289,4
Hugh McCluggage,MID,Brisbane,,28,0,3,1543,1482,-61,1482,0,1482,0,1482,0,-61,0
Hugo Garcia,MID,St Kilda,,21,7,50,3062,2444,-618,2462,18,2462,0,2462,0,-600,18
Hugo Hall-Kahan,SD,Adelaide,,23,7,10,215,253,38,352,99,352,0,352,0,137,99
Hugo Mikunda,SF,North Melbourne,,19,6,48,177,139,-38,139,0,139,0,139,0,-38,0
Hunter Holmes,MID,Geelong,,19,5,33,517,357,-160,357,0,357,0,357,0,-160,0
Iliro Smit,RUCK,Collingwood,,21,7,10,204,254,50,254,0,254,0,254,0,50,0
Indy Cotton,SF,Adelaide,,19,7,,48,49,1,49,0,49,0,49,0,1,0
Isaac Heeney,MID,Sydney,Academy,30,1,4,3537,3359,-178,3359,0,3359,0,3359,0,-178,0
Izak Rankine,SF,Adelaide,,26,0,3,4685,4342,-343,4342,0,4342,0,4342,0,-343,0
Jack Buckley,KPD,GWS,,29,7,,548,503,-45,503,0,504,1,504,0,-44,1
Jack Crisp,MID,Collingwood,,33,7,34,410,462,52,462,0,462,0,462,0,52,0
Jack Ginnivan,SF,Collingwood,,24,7,8,2242,2065,-177,2065,0,2065,0,2065,0,-177,0
Jack Graham,SF,West Coast,,28,7,53,651,604,-47,604,0,604,0,604,0,-47,0
Jack Gunston,KPF,Hawthorn,,35,5,29,753,717,-36,717,0,717,0,717,0,-36,0
Jack Silvagni,KPD,St Kilda,Father-Son,29,7,53,617,580,-37,580,0,580,0,580,0,-37,0
Jack Sinclair,SD,St Kilda,,31,7,1,3322,3180,-142,3180,0,3180,0,3180,0,-142,0
Jack Steele,MID,Melbourne,Academy,31,4,21,1191,1134,-57,1134,0,1134,0,1134,0,-57,0
Jack Viney,MID,Melbourne,Father-Son,32,3,13,229,254,25,254,0,254,0,254,0,25,0
Jack Williams,KPF,West Coast,,23,7,57,415,327,-88,313,-14,315,2,315,0,-100,-12
Jackson Macrae,MID,St Kilda,,32,2,8,101,96,-5,96,0,96,0,96,0,-5,0
Jacob Farrow,SD,Essendon,,19,2,10,2601,2155,-446,2515,360,2515,0,2515,0,-86,360
Jacob Molier,RUCK,Geelong,,20,7,52,283,88,-195,88,0,88,0,88,0,-195,0
Jacob Moss,KPD,Port Adelaide,,22,7,,36,52,16,52,0,52,0,52,0,16,0
Jacob Van Rooyen,KPF,Melbourne,,23,3,19,1894,1716,-178,1719,3,1719,0,1719,0,-175,3
Jagga Smith,SF,Carlton,,20,0,3,4855,3637,-1218,4348,711,4348,0,4348,0,-507,711
Jai Newcombe,MID,Hawthorn,,25,7,2,4883,4586,-297,4586,0,4586,0,4586,0,-297,0
Jai Saxena,SF,Collingwood,,19,7,,84,25,-59,25,0,25,0,25,0,-59,0
Jai Serong,KPD,Sydney,,23,7,53,1233,841,-392,868,27,868,0,868,0,-365,27
Jaime Uhr-Henry,RUCK,Hawthorn,,23,7,,26,45,19,45,0,45,0,45,0,19,0
Jake Bowey,SD,Melbourne,,24,4,22,4319,3807,-512,3807,0,3808,1,3808,0,-511,1
Jake Lloyd,SF,Sydney,,33,7,16,173,211,38,211,0,211,0,211,0,38,0
Jake Melksham,KPF,Melbourne,,35,2,10,50,5,-45,5,0,2,-3,2,0,-48,-3
Jake Soligo,SF,Adelaide,,23,6,36,2051,1874,-177,1874,0,1874,0,1874,0,-177,0
Jake Waterman,KPF,West Coast,Father-Son,28,7,76,1160,1157,-3,1157,0,1157,0,1157,0,-3,0
James Barrat,KPF,St Kilda,,20,5,32,225,220,-5,220,0,220,0,220,0,-5,0
James Borlase,KPD,Adelaide,,24,7,,424,294,-130,294,0,307,13,307,0,-117,13
James O'Donnell,KPD,Western Bulldogs,,24,7,,727,513,-214,513,0,514,1,514,0,-213,1
James Rowbottom,SF,Sydney,,26,4,25,1205,1129,-76,1129,0,1129,0,1129,0,-76,0
James Sicily,SD,Hawthorn,,31,7,52,1421,1320,-101,1320,0,1320,0,1320,0,-101,0
James Tunstill,MID,Brisbane,,23,6,41,82,176,94,42,-134,69,27,69,0,-13,-107
James Worpel,MID,Geelong,,27,6,45,413,388,-25,388,0,388,0,388,0,-25,0
Jaren Carr,SF,Fremantle,Next Gen,22,7,63,65,17,-48,17,0,17,0,17,0,-48,0
Jarrod Witts,RUCK,Gold Coast,,34,7,74,139,241,102,241,0,241,0,241,0,102,0
Jase Burgoyne,SD,Port Adelaide,Father-Son,23,7,60,2549,2163,-386,2163,0,2163,0,2163,0,-386,0
Jason Horne-Francis,SF,Port Adelaide,,23,0,1,6042,5597,-445,5600,3,5600,0,5600,0,-442,3
Jaspa Fletcher,SD,Brisbane,Academy,22,2,12,2616,2454,-162,2456,2,2456,0,2456,0,-160,2
Jaxon Prior,SD,Brisbane,,25,7,58,305,263,-42,263,0,255,-8,255,0,-50,-8
Jayden Laverde,KPD,Essendon,,30,3,20,193,204,11,204,0,195,-9,195,0,2,-9
Jayden Short,SD,Richmond,,30,7,9,887,917,30,917,0,917,0,917,0,30,0
Jed Bews,SD,Geelong,Father-Son,33,7,77,15,5,-10,5,0,1,-4,1,0,-14,-4
Jeremy Cameron,KPF,Geelong,,33,2,12,778,754,-24,754,0,754,0,754,0,-24,0
Jeremy Howe,SD,Collingwood,,36,5,35,224,219,-5,219,0,219,0,219,0,-5,0
Jesse Mellor,SF,Geelong,,19,7,,84,51,-33,51,0,51,0,51,0,-33,0
Jevan Phillipou,MID,Sydney,,19,5,35,273,226,-47,226,0,226,0,226,0,-47,0
Jobe Shanahan,KPF,West Coast,,20,5,30,1739,1347,-392,1438,91,1438,0,1438,0,-301,91
Joe Pike,RUCK,Geelong,,21,7,9,151,211,60,211,0,211,0,211,0,60,0
Joe Richards,SF,Port Adelaide,,27,6,48,915,745,-170,745,0,759,14,759,0,-156,14
Joel Cochran,SD,Collingwood,Academy - Unmatched,20,6,47,161,139,-22,139,0,139,0,139,0,-22,0
Joel Fitzgerald,MID,Melbourne,,23,7,16,72,184,112,240,56,257,17,257,0,185,73
Joel Freijah,SF,Western Bulldogs,,21,6,45,2883,2500,-383,2512,12,2512,0,2512,0,-371,12
Joel Jeffrey,SD,Gold Coast,Academy,24,5,30,1579,1352,-227,1352,0,1354,2,1354,0,-225,2
John Noble,SD,Gold Coast,,29,7,8,2159,2116,-43,2116,0,2116,0,2116,0,-43,0
Jordan Clark,SD,Fremantle,,26,3,15,3264,3014,-250,3014,0,3014,0,3014,0,-250,0
Jordan Dawson,MID,Adelaide,,29,7,55,3443,3176,-267,3176,0,3176,0,3176,0,-267,0
Jordan De Goey,SF,Collingwood,,30,1,6,1433,1365,-68,1365,0,1365,0,1365,0,-68,0
Jordon Butts,KPD,Adelaide,,27,7,17,18,25,7,25,0,12,-13,12,0,-6,-13
Jordon Sweet,RUCK,Port Adelaide,,28,7,14,2285,2007,-278,2007,0,2017,10,2017,0,-268,10
Josh Battle,KPD,St Kilda,,28,6,39,2028,1879,-149,1879,0,1879,0,1879,0,-149,0
Josh Daicos,SD,Collingwood,Father-Son,28,7,57,2104,1941,-163,1941,0,1941,0,1941,0,-163,0
Josh Draper,KPD,Fremantle,,22,7,,389,247,-142,264,17,264,0,264,0,-125,17
Josh Dunkley,MID,Brisbane,Father-Son,29,4,25,1134,1077,-57,1077,0,1077,0,1077,0,-57,0
Josh Lindsay,SD,West Coast,,19,3,19,2335,1796,-539,2050,254,2050,0,2050,0,-285,254
Josh Rachele,SF,Adelaide,,23,1,6,2008,1872,-136,1874,2,1874,0,1874,0,-134,2
Josh Smillie,MID,Richmond,,20,1,7,953,772,-181,772,0,772,0,772,0,-181,0
Josh Treacy,KPF,Fremantle,,24,7,4,6921,6133,-788,6133,0,6133,0,6133,0,-788,0
Josh Worrell,SD,Adelaide,,25,5,28,3723,3136,-587,3136,0,3138,2,3138,0,-585,2
Joshua Kelly,MID,GWS,,31,0,2,370,427,57,427,0,427,0,427,0,57,0
Joshua Weddle,SD,Hawthorn,,22,3,18,1510,1433,-77,1437,4,1437,0,1437,0,-73,4
Justin McInerney,SF,Sydney,,26,6,44,2143,1950,-193,1950,0,1950,0,1950,0,-193,0
Jy Simpkin,SF,North Melbourne,,28,2,12,1164,1129,-35,1129,0,1129,0,1129,0,-35,0
Kai Lohmann,SF,Brisbane,,23,3,20,879,820,-59,823,3,823,0,823,0,-56,3
Kalani White,KPF,Melbourne,,19,7,,84,55,-29,55,0,55,0,55,0,-29,0
Kane Farrell,SD,Port Adelaide,,27,7,51,1306,1183,-123,1183,0,1183,0,1183,0,-123,0
Karl Amon,SD,Hawthorn,,31,7,59,344,324,-20,324,0,324,0,324,0,-20,0
Kayle Gerreyn,RUCK,Essendon,,20,6,37,177,184,7,184,0,184,0,184,0,7,0
Keighton Matofai-Forbes,SF,Geelong,,20,7,69,104,111,7,111,0,111,0,111,0,7,0
Kobe McDonald,SD,St Kilda,,19,7,,85,40,-45,40,0,40,0,40,0,-45,0
Koby Coulson,MID,Gold Coast,Academy,19,6,46,316,232,-84,232,0,232,0,232,0,-84,0
Koby Evans,MID,Brisbane,Academy - Unmatched,19,6,38,254,219,-35,219,0,219,0,219,0,-35,0
Kye Fincher,SD,St Kilda,Next Gen,19,7,52,249,145,-104,145,0,145,0,145,0,-104,0
Kysaiah Pickett,SF,Melbourne,,25,2,12,4249,3914,-335,3914,0,3914,0,3914,0,-335,0
Lachie Neale,MID,Brisbane,,33,7,66,2348,2310,-38,2310,0,2310,0,2310,0,-38,0
Lachie Whitfield,SD,GWS,,32,0,1,2223,2143,-80,2143,0,2143,0,2143,0,-80,0
Lachlan Bramble,SF,Western Bulldogs,,28,7,,89,88,-1,88,0,88,0,88,0,-1,0
Lachlan Carmichael,SD,Western Bulldogs,Academy - Unmatched,19,4,21,548,479,-69,479,0,479,0,479,0,-69,0
Lachlan Cowan,SD,Carlton,,22,5,30,724,612,-112,620,8,620,0,620,0,-104,8
Lachlan McAndrew,RUCK,Adelaide,,26,7,,1279,841,-438,841,0,920,79,920,0,-359,79
Lachlan Schultz,SF,Fremantle,,29,7,57,740,685,-55,685,0,685,0,685,0,-55,0
Lawson Humphries,SD,Geelong,,23,7,63,1816,1451,-365,1456,5,1456,0,1456,0,-360,5
Lennox Hoffman,SD,Geelong,,20,7,66,104,111,7,111,0,111,0,111,0,7,0
Leon Kickett,SF,Fremantle,,20,7,4,151,92,-59,92,0,92,0,92,0,-59,0
Lewis Hayes,SD,Essendon,,22,4,25,250,311,61,338,27,338,0,338,0,88,27
Liam Baker,SD,West Coast,,28,7,11,402,421,19,421,0,421,0,421,0,19,0
Liam Hetherton,KPF,Sydney,,19,7,,168,66,-102,66,0,66,0,66,0,-102,0
Lloyd Meek,RUCK,Hawthorn,,28,7,68,1300,1365,65,1365,0,1367,2,1367,0,67,2
Logan Evans,SD,Port Adelaide,,21,7,12,1361,1318,-43,1339,21,1339,0,1339,0,-22,21
Logan Morris,KPF,Brisbane,,21,5,31,3247,2889,-358,2896,7,2896,0,2896,0,-351,7
Logan Smith,RUCK,GWS,,20,7,71,185,321,136,321,0,321,0,321,0,136,0
Luke Davies-Uniacke,MID,North Melbourne,,27,1,4,4070,3828,-242,3828,0,3828,0,3828,0,-242,0
Luke Jackson,RUCK,Fremantle,,25,0,3,10203,9386,-817,9386,0,9386,0,9386,0,-817,0
Luke Lloyd,KPF,Brisbane,,21,6,42,164,191,27,191,0,191,0,191,0,27,0
Luke Parker,SD,North Melbourne,,34,6,42,1339,1256,-83,1256,0,1256,0,1256,0,-83,0
Luke Urquhart,MID,North Melbourne,,20,7,57,143,39,-104,39,0,39,0,39,0,-104,0
Mabior Chol,KPF,Hawthorn,,29,7,25,205,261,56,261,0,261,0,261,0,56,0
Mac Andrew,KPD,Gold Coast,,23,1,5,4169,3747,-422,3750,3,3750,0,3750,0,-419,3
Malakai Champion,SF,West Coast,,20,7,,341,167,-174,166,-1,166,0,166,0,-175,-1
Marcus Bontempelli,MID,Western Bulldogs,,31,1,4,3876,3677,-199,3677,0,3677,0,3677,0,-199,0
Marcus Herbert,MID,West Coast,,24,7,13,906,690,-216,690,0,793,103,793,0,-113,103
Marcus Windhager,SD,St Kilda,Next Gen,23,6,47,1864,1682,-182,1683,1,1683,0,1683,0,-181,1
Mark Keane,KPD,Adelaide,,26,7,,1557,1341,-216,1341,0,1345,4,1345,0,-212,4
Mark O'Connor,SD,Geelong,,29,7,,8,10,2,10,0,9,-1,9,0,1,-1
Mason Wood,SF,St Kilda,,33,6,44,383,364,-19,364,0,364,0,364,0,-19,0
Massimo D'Ambrosio,MID,Hawthorn,,23,7,3,1565,1563,-2,1566,3,1566,0,1566,0,1,3
Matt Duffy,KPD,Carlton,,22,7,,43,37,-6,37,0,37,0,37,0,-6,0
Matt Owies,SF,Carlton,,29,7,,3,7,4,7,0,3,-4,3,0,0,-4
Matt Rowell,MID,Gold Coast,,25,0,1,4770,4471,-299,4471,0,4471,0,4471,0,-299,0
Matthew LeRay,MID,Hawthorn,,19,7,56,219,111,-108,111,0,111,0,111,0,-108,0
Matthew Roberts,SD,Sydney,,23,5,34,1818,1548,-270,1553,5,1553,0,1553,0,-265,5
Max Beattie,SF,Hawthorn,,23,7,12,181,95,-86,95,0,95,0,95,0,-86,0
Max Gawn,RUCK,Melbourne,,35,5,33,3336,3136,-200,3136,0,3136,0,3136,0,-200,0
Max Hall,SF,St Kilda,,24,7,4,2790,2110,-680,2110,0,2131,21,2131,0,-659,21
Max Holmes,MID,Geelong,,24,4,21,8406,7562,-844,7562,0,7562,0,7562,0,-844,0
Maxwell King,KPF,Sydney,Academy,19,7,49,156,129,-27,129,0,129,0,129,0,-27,0
Max Knobel,RUCK,Gold Coast,,22,6,42,411,317,-94,317,0,317,0,317,0,-94,0
Max Mapley,RUCK,Melbourne,,21,7,18,322,266,-56,266,0,266,0,266,0,-56,0
Michael Frederick,SF,Fremantle,,26,7,60,50,52,2,52,0,51,-1,51,0,1,-1
Milan Murdock,SF,West Coast,,26,7,,208,156,-52,156,0,196,40,196,0,-12,40
Mitch Georgiades,KPF,Port Adelaide,,25,3,18,1427,1307,-120,1307,0,1307,0,1307,0,-120,0
Mitchell Marsh,KPF,Adelaide,,19,4,22,506,552,46,552,0,552,0,552,0,46,0
Mitchito Owens,KPF,St Kilda,Next Gen,23,5,33,2071,1879,-192,1880,1,1880,0,1880,0,-191,1
Murphy Reid,SF,Fremantle,,20,3,17,4141,3383,-758,3422,39,3422,0,3422,0,-719,39
Mykelti Lefau,KPF,Richmond,,28,7,,86,77,-9,77,0,62,-15,62,0,-24,-15
Nasiah Wanganeen-Milera,SD,St Kilda,,23,2,11,9688,8644,-1044,8644,0,8644,0,8644,0,-1044,0
Nathan Wardius,SF,GWS,,22,7,,77,37,-40,37,0,37,0,37,0,-40,0
Ned Bowman,SF,Sydney,,20,4,26,257,124,-133,124,0,124,0,124,0,-133,0
Ned Long,SF,Collingwood,,23,7,3,1416,1175,-241,1182,7,1182,0,1182,0,-234,7
Ned Moyle,RUCK,Gold Coast,,24,7,5,2285,1568,-717,1568,0,1671,103,1671,0,-614,103
Nicholas Martin,SF,Essendon,,25,7,,3513,3196,-317,3196,0,3199,3,3199,0,-314,3
Nick Blakey,SD,Sydney,Academy,26,2,10,4273,3978,-295,3978,0,3978,0,3978,0,-295,0
Nick Daicos,MID,Collingwood,Father-Son,23,1,4,10945,9944,-1001,9944,0,9944,0,9944,0,-1001,0
Nick Driscoll,SF,Geelong,,19,7,6,201,97,-104,97,0,97,0,97,0,-104,0
Nick Madden,RUCK,GWS,,22,7,,1766,1018,-748,1064,46,1064,0,1064,0,-702,46
Nick Vlastuin,SD,Richmond,,32,2,12,83,95,12,95,0,95,0,95,0,12,0
Nick Watson,SF,Hawthorn,,21,1,5,3839,3507,-332,3535,28,3535,0,3535,0,-304,28
Noah Anderson,MID,Gold Coast,,25,0,2,5256,4918,-338,4918,0,4918,0,4918,0,-338,0
Noah Chamberlain,KPF,Sydney,,19,7,,86,37,-49,37,0,37,0,37,0,-49,0
Oliver Griffin,SF,North Melbourne,,19,7,6,181,95,-86,95,0,95,0,95,0,-86,0
Ollie Dempsey,MID,Geelong,,23,7,7,2428,2159,-269,2162,3,2162,0,2162,0,-266,3
Ollie Murphy,KPD,Fremantle,,21,6,41,168,196,28,196,0,196,0,196,0,28,0
Oscar Berry,KPD,Melbourne,,24,7,,53,57,4,57,0,57,0,57,0,4,0
Oskar Taylor,SD,GWS,,19,3,15,629,596,-33,596,0,596,0,596,0,-33,0
Patrick Carr,RUCK,Richmond,,21,7,,31,47,16,47,0,47,0,47,0,16,0
Patrick Cripps,MID,Carlton,,31,3,13,1488,1424,-64,1424,0,1424,0,1424,0,-64,0
Patrick Lipinski,SF,Collingwood,,28,5,28,735,692,-43,692,0,692,0,692,0,-43,0
Patrick Retschko,MID,Geelong,,20,7,8,1608,1047,-561,1116,69,1116,0,1116,0,-492,69
Patrick Said,SF,St Kilda,,20,7,60,80,28,-52,28,0,28,0,28,0,-52,0
Patrick Snell,KPF,Sydney,,21,7,53,115,163,48,163,0,163,0,163,0,48,0
Patrick Voss,KPF,Fremantle,,23,7,5,1538,1277,-261,1293,16,1293,0,1293,0,-245,16
Paul Curtis,SF,North Melbourne,,23,5,35,1622,1486,-136,1486,0,1486,0,1486,0,-136,0
Peter Wright,KPF,Essendon,,30,2,10,1619,1531,-88,1531,0,1531,0,1531,0,-88,0
Phoenix Gothard,SF,GWS,,21,2,12,1891,1319,-572,1614,295,1614,0,1614,0,-277,295
Reece Torrent,MID,Brisbane,,21,7,64,79,25,-54,25,0,25,0,25,0,-54,0
Reilly O'Brien,RUCK,Adelaide,,31,7,8,985,977,-8,977,0,977,0,977,0,-8,0
Reuben Ginbey,SD,West Coast,,22,2,9,2349,2140,-209,2144,4,2144,0,2144,0,-205,4
Rhyan Mansell,SF,Richmond,,26,7,,48,54,6,54,0,48,-6,48,0,0,-6
Riak Andrew,KPD,Sydney,Academy - Unmatched,21,7,55,138,124,-14,124,0,124,0,124,0,-14,0
Ricky Mentha,SF,Melbourne,,20,7,,50,23,-27,23,0,23,0,23,0,-27,0
Riley Onley,MID,Melbourne,,19,7,2,201,97,-104,97,0,97,0,97,0,-104,0
Riley Thilthorpe,KPF,Adelaide,,24,0,2,4468,4065,-403,4065,0,4067,2,4067,0,-401,2
River Stevens,SF,North Melbourne,Father-Son,20,7,67,104,44,-60,44,0,44,0,44,0,-60,0
Rob Monahan,SD,Carlton,,22,7,,45,37,-8,37,0,37,0,37,0,-8,0
Rory Laird,SD,Adelaide,,33,7,8,701,749,48,749,0,749,0,749,0,48,0
Rowan Marshall,KPF,St Kilda,,31,7,8,2027,2008,-19,2008,0,2008,0,2008,0,-19,0
Ryan Gardner,KPD,Western Bulldogs,,29,7,58,18,34,16,34,0,10,-24,10,0,-8,-24
Ryan Lester,SD,Brisbane,,34,5,30,38,38,0,38,0,37,-1,37,0,-1,-1
Ryan Maric,SD,West Coast,,22,7,1,1406,1283,-123,1289,6,1289,0,1289,0,-117,6
Ryda Luke,SF,Fremantle,,19,7,,84,25,-59,25,0,25,0,25,0,-59,0
Ryley Sanders,SF,Western Bulldogs,,21,1,6,3885,3508,-377,3560,52,3560,0,3560,0,-325,52
Sam Allen,SF,West Coast,,19,5,29,618,450,-168,450,0,450,0,450,0,-168,0
Sam Berry,MID,Adelaide,,24,5,29,3992,3526,-466,3526,0,3527,1,3527,0,-465,1
Sam Darcy,KPF,Western Bulldogs,Father-Son,23,0,2,5250,4373,-877,4450,77,4450,0,4450,0,-800,77
Sam Draper,KPF,Brisbane,,28,7,1,1107,993,-114,993,0,993,0,993,0,-114,0
Sam Durham,SF,Essendon,,25,7,9,2531,2443,-88,2443,0,2444,1,2444,0,-87,1
Sam Flanders,SF,St Kilda,,25,2,11,2067,1922,-145,1922,0,1923,1,1923,0,-144,1
Sam Switkowski,SF,Fremantle,,30,7,72,15,16,1,16,0,16,0,16,0,1,0
Sam Taylor,KPD,GWS,,27,5,28,1212,1119,-93,1119,0,1119,0,1119,0,-93,0
Sam Walsh,MID,Carlton,,26,0,1,3041,2926,-115,2926,0,2926,0,2926,0,-115,0
Samuel Collins,KPD,Gold Coast,,32,7,54,619,583,-36,583,0,583,0,583,0,-36,0
Seth Campbell,SF,Richmond,,22,7,3,1010,922,-88,928,6,928,0,928,0,-82,6
Shai Bolton,SF,Fremantle,,28,5,29,2150,1996,-154,1996,0,1996,0,1996,0,-154,0
Shannon Neale,KPF,Geelong,,24,5,35,2711,2243,-468,2243,0,2249,6,2249,0,-462,6
Shaun Mannagh,SF,Geelong,,29,6,36,663,609,-54,609,0,622,13,622,0,-41,13
Sullivan Robey,SF,Essendon,,19,2,9,2981,2379,-602,2864,485,2864,0,2864,0,-117,485
Tai Hayes,SF,Brisbane,,22,6,44,194,151,-43,151,0,151,0,151,0,-43,0
Talor Byrne,SF,Carlton,,19,6,45,857,687,-170,773,86,773,0,773,0,-84,86
Taylor Walker,KPF,Adelaide,,37,7,64,132,129,-3,129,0,129,0,129,0,-3,0
Thomas Matthews,SF,Melbourne,,19,5,30,337,238,-99,238,0,238,0,238,0,-99,0
Thomas Stewart,SD,Geelong,,33,6,40,1101,1030,-71,1030,0,1030,0,1030,0,-71,0
Tim Kelly,SF,West Coast,,32,4,24,1219,1154,-65,1154,0,1154,0,1154,0,-65,0
Tim Taranto,MID,Richmond,,28,0,2,2423,2337,-86,2337,0,2337,0,2337,0,-86,0
Timothy English,RUCK,Western Bulldogs,,29,3,19,3535,3289,-246,3289,0,3289,0,3289,0,-246,0
Toby Greene,SF,GWS,,33,3,17,847,805,-42,805,0,805,0,805,0,-42,0
Toby Nankervis,RUCK,Richmond,,32,5,35,2031,1911,-120,1911,0,1911,0,1911,0,-120,0
Toby Whan,MID,Fremantle,,19,7,,84,25,-59,25,0,25,0,25,0,-59,0
Tobyn Murray,SF,Fremantle,,21,6,40,234,204,-30,204,0,204,0,204,0,-30,0
Tom Atkins,MID,Geelong,,31,7,7,298,355,57,355,0,355,0,355,0,57,0
Tom Cole,SF,West Coast,,29,6,36,47,56,9,56,0,49,-7,49,0,2,-7
Tom Green,MID,GWS,Academy,25,2,10,4719,4339,-380,4339,0,4339,0,4339,0,-380,0
Tom McCarthy,SD,West Coast,,26,7,1,1457,1211,-246,1211,0,1259,48,1259,0,-198,48
Tom McCartin,KPD,Sydney,,27,5,33,1689,1571,-118,1571,0,1571,0,1571,0,-118,0
Tom Papley,SF,Sydney,,30,7,11,353,403,50,403,0,403,0,403,0,50,0
Touk Miller,SF,Gold Coast,,30,5,29,2378,2223,-155,2223,0,2223,0,2223,0,-155,0
Trent Rivers,SD,Melbourne,,25,5,32,1852,1695,-157,1695,0,1695,0,1695,0,-157,0
Tristan Xerri,RUCK,North Melbourne,,27,7,71,7800,6965,-835,6965,0,6968,3,6968,0,-832,3
Ty Gallop,KPF,Brisbane,Academy,20,6,42,1199,854,-345,933,79,933,0,933,0,-266,79
Tyan Prindable,MID,Collingwood,Academy - Unmatched,19,5,32,543,375,-168,375,0,375,0,375,0,-168,0
Tylah Williams,SF,West Coast,Next Gen,19,6,39,249,217,-32,217,0,217,0,217,0,-32,0
Tyler Welsh,KPF,Adelaide,,20,7,59,80,67,-13,67,0,67,0,67,0,-13,0
Vigo Visentini,RUCK,Essendon,,21,7,5,182,257,75,295,38,295,0,295,0,113,38
Wayne Milera,SD,Adelaide,,29,2,11,1800,1698,-102,1698,0,1698,0,1698,0,-102,0
Wil Powell,SD,Gold Coast,,27,3,19,775,746,-29,746,0,746,0,746,0,-29,0
Will Ashcroft,MID,Brisbane,Father-Son,22,0,2,7330,6597,-733,6607,10,6607,0,6607,0,-723,10
Will Darcy,KPF,Western Bulldogs,Father-Son,19,7,58,187,225,38,225,0,225,0,225,0,38,0
Will Day,MID,Hawthorn,,25,3,13,2387,2136,-251,2136,0,2139,3,2139,0,-248,3
Will Graham,SF,Gold Coast,Academy,21,4,26,1708,1368,-340,1439,71,1439,0,1439,0,-269,71
Will Hayward,SF,Carlton,,28,4,21,229,229,0,229,0,227,-2,227,0,-2,-2
Willem Drew,MID,Port Adelaide,,28,5,33,608,585,-23,585,0,585,0,585,0,-23,0
Xavier Walsh,KPF,Port Adelaide,,21,7,6,143,116,-27,116,0,116,0,116,0,-27,0
Zac Bailey,SF,Brisbane,,27,3,15,2914,2712,-202,2712,0,2712,0,2712,0,-202,0
Zac McCarthy,KPF,Collingwood,Next Gen,19,7,55,147,133,-14,133,0,133,0,133,0,-14,0
Zac Walker,KPD,Western Bulldogs,,20,7,11,152,153,1,153,0,153,0,153,0,1,0
Zachary Merrett,MID,Essendon,,31,4,26,2704,2542,-162,2542,0,2542,0,2542,0,-162,0
Zachary Williams,SF,Carlton,,32,7,,368,357,-11,357,0,357,0,357,0,-11,0
Zak Butters,MID,Port Adelaide,,26,2,12,7092,6551,-541,6551,0,6551,0,6551,0,-541,0
Zak Evans,MID,Gold Coast,,26,7,,29,113,84,113,0,113,0,113,0,84,0
