player,pos,v_before,v_after,delta,pct,rank_before,rank_after,rank_move,cause
Nikolas Cox,MID,174,177,3,1.7,607,611,-4,stage_A; stageB_engine
James Tunstill,MID,108,111,3,2.8,656,653,3,stageB_engine
Esava Ratugolea,KPD,117,120,3,2.6,644,645,-1,stageB_engine
Cameron Zurhaar,SF,159,162,3,1.9,624,623,1,stageB_engine
Jack Higgins,SF,132,135,3,2.3,636,636,0,stageB_engine
Oscar Allen,KPF,158,161,3,1.9,625,625,0,stageB_engine
Jackson Macrae,MID,140,143,3,2.1,633,633,0,stageB_engine
Michael Frederick,SF,111,114,3,2.7,651,652,-1,stageB_engine
Lachlan Bramble,SF,94,97,3,3.2,670,669,1,stageB_engine
Harry Perryman,SD,120,123,3,2.5,641,641,0,stageB_engine
Tom Barrass,KPD,113,116,3,2.7,650,650,0,stageB_engine
Ollie Lord,KPF,151,154,3,2.0,630,630,0,stageB_engine
Riley Garcia,SF,113,116,3,2.7,648,649,-1,stageB_engine
Brandon Zerk-Thatcher,KPD,86,89,3,3.5,682,685,-3,stageB_engine
Jamie Cripps,SF,36,39,3,8.3,753,748,5,stage_A; stageB_curve_pool
James Leake,SD,544,546,2,0.4,364,370,-6,stage_A; stageB_engine
Joel Fitzgerald,MID,78,80,2,2.6,695,696,-1,stageB_engine
Bruce Reville,MID,72,74,2,2.8,701,703,-2,stageB_engine
Harry Rowston,MID,642,644,2,0.3,323,331,-8,stage_A; stageB_engine
Luke Kennedy,MID,523,525,2,0.4,377,378,-1,stage_A; stageB_engine
Ewan Mackinlay,SF,45,47,2,4.4,732,733,-1,stage_A; stageB_engine
Tom Edwards,KPF,89,91,2,2.2,678,684,-6,stageB_engine
Jack Hutchinson,MID,37,39,2,5.4,749,747,2,stageB_engine
Jack Buller,KPF,91,93,2,2.2,674,676,-2,stageB_engine
Wade Derksen,KPD,84,86,2,2.4,689,690,-1,stageB_engine
Charlie Ballard,KPD,84,86,2,2.4,687,688,-1,stageB_engine
Brandon Walker,SD,91,93,2,2.2,673,675,-2,stageB_engine
Nick Vlastuin,SD,109,111,2,1.8,655,654,1,stageB_engine
Nick Haynes,SD,101,103,2,2.0,662,663,-1,stageB_engine
Dougal Howard,KPD,87,89,2,2.3,681,686,-5,stageB_engine
Lachlan Fogarty,SF,71,73,2,2.8,702,704,-2,stageB_engine
Todd Marshall,KPF,113,115,2,1.8,649,651,-2,stageB_engine
Elliott Himmelberg,KPF,89,91,2,2.2,676,682,-6,stageB_engine
Harry Morrison,MID,53,55,2,3.8,719,719,0,stageB_engine
Caleb Graham,KPD,70,72,2,2.9,703,705,-2,stageB_engine
Matt Guelfi,SF,17,19,2,11.8,785,781,4,stage_A; stageB_engine
Nicholas Holman,SF,25,27,2,8.0,774,768,6,stage_A
Daniel Butler,SF,19,21,2,10.5,781,777,4,stage_A
Jed Bews,SD,36,34,-2,-5.6,754,755,-1,stage_A; stageB_engine
Lachlan Blakiston,KPD,19,20,1,5.3,782,779,3,stageB_engine
Cody Angove,MID,562,563,1,0.2,357,362,-5,stage_A; stageB_curve_pool
Charlie West,KPF,613,612,-1,-0.2,332,342,-10,stage_A; stageB_engine; stageB_curve_pool
Oscar Berry,KPD,93,92,-1,-1.1,671,679,-8,stage_A; stageB_engine
Xavier Walsh,KPD,262,263,1,0.4,538,540,-2,stage_A; stageB_engine
Luke Beecken,MID,20,21,1,5.0,779,778,1,stageB_engine
Jamarra Ugle-Hagan,KPF,354,353,-1,-0.3,463,464,-1,stage_A; stageB_engine
Paddy Cross,SF,35,36,1,2.9,756,754,2,stage_A
Liam Puncher,KPD,101,102,1,1.0,661,664,-3,stage_A; stageB_engine
Jesse Motlop,SF,109,110,1,0.9,654,656,-2,stage_A; stageB_engine
Flynn Young,SF,10,11,1,10.0,793,789,4,stage_A
Jack Henderson,SF,6,7,1,16.7,797,797,0,stageB_engine
Liam O'Connell,SD,41,42,1,2.4,742,741,1,stageB_engine
Mykelti Lefau,KPF,37,38,1,2.7,750,752,-2,stageB_engine
Arthur Jones,SF,128,129,1,0.8,638,639,-1,stage_A; stageB_engine
Luke Cleary,SD,77,78,1,1.3,698,698,0,stage_A; stageB_curve_pool
Nicholas Coffield,SD,54,55,1,1.9,718,721,-3,stage_A; stageB_curve_pool
Andy Moniz-Wakefield,SF,45,44,-1,-2.2,731,736,-5,stage_A
Corey Durdin,SF,67,68,1,1.5,706,707,-1,stageB_engine
Reef McInnes,KPD,80,81,1,1.2,694,695,-1,stage_A; stageB_curve_pool
Jacob Wehr,SD,24,25,1,4.2,775,772,3,stageB_curve_pool
Lachlan McNeil,SF,25,26,1,4.0,773,771,2,stageB_engine
Darcy Fort,RUCK,54,55,1,1.9,716,718,-2,stageB_engine
Lewis Melican,KPD,58,59,1,1.7,712,714,-2,stageB_engine
Corey Wagner,SD,42,43,1,2.4,738,740,-2,stageB_engine
Oscar McDonald,KPD,43,44,1,2.3,736,738,-2,stageB_engine
Jamie Elliott,SF,32,33,1,3.1,762,757,5,stage_A
Brody Mihocek,KPF,10,11,1,10.0,791,788,3,stageB_engine
Bradley Close,SF,38,39,1,2.6,746,746,0,stageB_engine
Sam Switkowski,SF,24,25,1,4.2,777,774,3,stageB_engine
Luke McDonald,SD,54,55,1,1.9,717,720,-3,stage_A; stageB_curve_pool
Lincoln McCarthy,SF,24,25,1,4.2,776,773,3,stageB_engine
Aidan Corr,KPD,51,52,1,2.0,722,725,-3,stageB_curve_pool
Changkuoth Jiath,SD,30,31,1,3.3,768,765,3,stageB_engine
Callum M. Brown,SF,66,67,1,1.5,707,709,-2,stageB_engine
Toby Pink,KPD,16,17,1,6.2,786,784,2,stageB_engine
Darcy Gardiner,KPD,47,48,1,2.1,728,730,-2,stageB_curve_pool
Bobby Hill,SF,46,47,1,2.2,730,732,-2,stageB_engine
Ben Long,SF,32,33,1,3.1,761,756,5,stage_A
Bailey Scott,MID,30,31,1,3.3,767,764,3,stageB_curve_pool
Malcolm Rosas,SF,31,32,1,3.2,765,762,3,stageB_engine
Noah Answerth,SD,31,32,1,3.2,766,763,3,stageB_curve_pool
Liam Ryan,SF,30,31,1,3.3,769,766,3,stageB_curve_pool
Darragh Joyce,KPD,12,13,1,8.3,787,787,0,stageB_engine
Hugo Ralphsmith,MID,44,45,1,2.3,735,735,0,stageB_engine
Liam Stocker,SD,42,41,-1,-2.4,739,742,-3,stage_A; stageB_curve_pool
Laitham Vandermeer,SF,32,33,1,3.1,763,759,4,stage_A
Oskar Baker,MID,32,33,1,3.1,764,760,4,stageB_curve_pool
Brandon Starcevich,SD,44,43,-1,-2.3,733,739,-6,stage_A; stageB_curve_pool
Dylan Patterson,SD,1137,1137,0,0.0,211,225,-14,unmoved
Lukas Cooke,KPD,151,151,0,0.0,629,631,-2,unmoved
Zak Evans,MID,4,4,0,0.0,798,799,-1,unmoved
Tom Blamires,SD,95,95,0,0.0,669,674,-5,unmoved
Flynn Perez,SD,10,10,0,0.0,792,791,1,unmoved
Roan Steele,MID,22,22,0,0.0,778,776,2,unmoved
Ben Jepson,MID,10,10,0,0.0,790,790,0,unmoved
Mani Liddy,MID,30,30,0,0.0,770,767,3,unmoved
Wil Parker,SD,27,27,0,0.0,772,770,2,unmoved
Saad El-Hawli,SD,19,19,0,0.0,783,782,1,unmoved
Lachie Sullivan,SF,1,1,0,0.0,803,803,0,unmoved
Oisin Mullin,SD,10,10,0,0.0,795,794,1,unmoved
James Blanck,KPD,36,36,0,0.0,752,753,-1,unmoved
Conor Stone,SF,87,87,0,0.0,680,687,-7,unmoved
Finlay Macrae,MID,110,110,0,0.0,653,655,-2,unmoved
Rhyan Mansell,SF,86,86,0,0.0,686,689,-3,unmoved
Jordan Boyd,SD,7,7,0,0.0,796,798,-2,unmoved
Lachlan Weller,MID,81,81,0,0.0,691,694,-3,unmoved
Joel Amartey,KPF,57,57,0,0.0,714,716,-2,unmoved
Hunter Clark,SD,57,57,0,0.0,713,715,-2,unmoved
Jordon Butts,KPD,17,17,0,0.0,784,783,1,unmoved
Mark O'Connor,SD,20,20,0,0.0,780,780,0,unmoved
Jaeger O'Meara,MID,196,196,0,0.0,586,601,-15,unmoved
Ben McKay,KPD,48,48,0,0.0,724,728,-4,unmoved
Rhys Stanley,RUCK,40,40,0,0.0,743,744,-1,unmoved
Nathan Broad,SD,10,10,0,0.0,794,793,1,unmoved
Ryan Gardner,KPD,33,33,0,0.0,759,761,-2,unmoved
Jake Kolodjashnij,KPD,38,38,0,0.0,747,751,-4,unmoved
Alex Pearce,KPD,39,39,0,0.0,744,745,-1,unmoved
Harry Schoenberg,MID,56,56,0,0.0,715,717,-2,unmoved
Jeremy Sharp,MID,77,77,0,0.0,697,699,-2,unmoved
Matt Owies,SF,1,1,0,0.0,804,804,0,unmoved
Mason Cox,KPF,2,2,0,0.0,801,801,0,unmoved
Harry Cunningham,SD,1,1,0,0.0,802,802,0,unmoved
