player,pos,v_baseline,d_your_edits,d_rebake,d_axis,d_bars,d_curve_pool,v_final,delta_total,rank_before,rank_final,rank_move,notes
Tyan Prindable,MID,601,0,-8,0,0,14,607,6,337,344,-7,
Harrison Ramm,KPD,388,-2,0,8,0,0,394,6,438,438,0,collateral: position-group ripple
Cooper Bell,KPF,323,0,-2,0,0,8,329,6,485,488,-3,year0 bar KPD→KPF
Luke Urquhart,MID,245,0,0,0,0,6,251,6,552,554,-2,
Tylar Young,KPD,313,0,0,6,0,0,319,6,493,493,0,
Isaiah Dudley,SF,113,4,0,2,0,0,119,6,647,646,1,collateral: position-group ripple
Jack Watkins,SF,3,0,0,0,6,0,9,6,799,796,3,year0 bar MID→SF | 2026 col-bar row MID→col SF
Toby McMullin,MID,149,3,0,4,-1,0,155,6,631,629,2,collateral: position-group ripple | year0 bar SF→MID
Zac Banch,SF,42,5,0,1,0,0,48,6,741,731,10,collateral: position-group ripple
Campbell Chesser,MID,351,-1,0,7,0,0,357,6,466,462,4,collateral: position-group ripple
Alex Neal-Bullen,SF,420,-4,0,10,0,0,426,6,416,420,-4,collateral: position-group ripple
Blake Howes,SD,334,-1,0,7,0,0,340,6,476,474,2,collateral: position-group ripple
Bailey Macdonald,SD,179,2,0,4,0,0,185,6,603,606,-3,collateral: position-group ripple
Will Edwards,KPD,273,0,0,6,0,0,279,6,526,525,1,
Sam Powell-Pepper,SF,272,0,0,6,0,0,278,6,527,526,1,
Bayley Fritsch,SF,246,0,0,6,0,0,252,6,550,550,0,
Josh Goater,SD,102,0,-8,0,0,2,96,-6,659,671,-12,
Toby Bedford,SF,266,0,0,6,0,0,272,6,533,531,2,
Robert Hansen,SF,121,3,0,3,0,0,127,6,640,640,0,collateral: position-group ripple
Tyson Stengle,SF,249,0,0,6,0,0,255,6,545,549,-4,
Harvey Harrison,SF,61,0,5,0,0,1,67,6,710,710,0,
Cody Weightman,SF,213,1,0,5,0,0,219,6,567,580,-13,collateral: position-group ripple
Callum Ah Chee,SF,86,0,4,0,0,2,92,6,683,677,6,
Oskar Taylor,SD,754,0,-13,0,0,18,759,5,290,298,-8,
Harry O'Farrell,KPD,937,-26,0,21,0,0,932,-5,251,263,-12,collateral: position-group ripple
Joel Cochran,SD,328,0,-3,0,0,8,333,5,483,481,2,year0 bar KPD→SD
Max Michalanney,SD,568,-8,0,13,0,0,573,5,353,354,-1,collateral: position-group ripple
Patrick Snell,KPF,246,0,-1,0,0,6,251,5,551,555,-4,year0 bar KPD→KPF
Jaren Carr,SF,213,0,0,0,0,5,218,5,568,582,-14,
Matt Duffy,KPD,165,-12,0,3,4,0,160,-5,614,626,-12,collateral: position-group ripple | year0 bar SD→KPD
Hugo Hall-Kahan,SD,229,-1,0,6,0,0,234,5,559,568,-9,collateral: position-group ripple | 2026 col-bar row MID→col SD
George Stevens,MID,405,-5,0,7,0,3,410,5,429,430,-1,collateral: position-group ripple
Campbell Gray,KPD,266,-2,0,7,0,0,271,5,532,533,-1,collateral: position-group ripple | 2026 col-bar row RUCK→col KPD
Bodie Ryan,SD,337,1,-4,7,0,1,342,5,475,472,3,collateral: position-group ripple
Oliver Hayes-Brown,RUCK,274,0,0,5,0,0,279,5,525,524,1,
Ben Keays,SF,444,-5,0,10,0,0,449,5,407,410,-3,collateral: position-group ripple
Henry Hustwaite,MID,274,0,-1,2,0,4,279,5,524,523,1,
Darcy Moore,KPD,232,0,0,5,0,0,237,5,558,564,-6,
Sandy Brock,KPD,262,0,0,5,0,0,267,5,536,537,-1,
Shadeau Brain,SD,115,-7,0,2,0,0,110,-5,646,658,-12,collateral: position-group ripple
Daniel McStay,KPF,234,0,0,5,0,0,239,5,556,561,-5,
Taylor Walker,KPF,214,1,0,4,0,0,219,5,566,581,-15,collateral: position-group ripple
Will Hayward,SF,219,0,0,5,0,0,224,5,563,573,-10,
Tim Membrey,KPF,207,0,0,5,0,0,212,5,569,584,-15,
Jarrod Witts,RUCK,219,0,0,4,1,0,224,5,562,572,-10,
Beau McCreery,SF,194,0,0,5,0,0,199,5,588,598,-10,
Jack Payne,KPD,168,0,0,5,0,0,173,5,611,618,-7,
Jackson Archer,SD,80,0,-7,0,0,2,75,-5,692,702,-10,
Jai Culley,MID,240,0,0,5,0,0,245,5,554,558,-4,
Zac Fisher,SF,180,0,0,5,0,0,185,5,602,608,-6,
Rhylee West,SF,216,0,0,5,0,0,221,5,565,576,-11,
Xavier Duursma,MID,203,0,0,5,0,0,208,5,576,589,-13,
Tom Lynch,KPF,48,0,3,0,0,2,53,5,727,724,3,
Joel Hamling,KPD,38,-9,4,0,0,0,33,-5,748,758,-10,EDITED: present_position: KPD→KPF; future_position: KPD→KPF | year0 bar KPF→KPD
Jake Melksham,KPF,48,0,4,0,0,1,53,5,725,723,2,EDITED: present_position: SF→KPF
Harley Barker,MID,745,0,-14,0,0,18,749,4,293,300,-7,
James Barrat,KPF,387,0,-4,0,0,8,391,4,441,440,1,year0 bar KPD→KPF
Ollie Murphy,KPD,288,0,-3,0,0,7,292,4,516,511,5,
Harrison Coe,RUCK,163,0,0,4,0,0,167,4,618,620,-2,
Luke Lloyd,KPF,283,0,-3,0,0,7,287,4,519,515,4,EDITED: present_position: KPF→KPD | year0 bar KPD→KPF
Hugh Davies,KPD,310,0,-3,0,0,7,314,4,495,497,-2,
Sam Davidson,SF,78,0,2,0,0,2,82,4,696,693,3,2026 col-bar row MID→col SF
Riak Andrew,KPD,296,0,-2,0,0,6,300,4,510,504,6,
Billy Cootee,MID,101,0,2,0,0,2,105,4,660,661,-1,
Jed Adams,KPD,267,0,-3,0,0,7,271,4,531,534,-3,
Reece Torrent,MID,198,0,0,0,0,4,202,4,581,595,-14,
Will Lewis,KPF,12,3,0,1,0,0,16,4,788,785,3,collateral: position-group ripple
Harvey Gallagher,SD,138,0,0,0,0,4,142,4,634,634,0,EDITED: present_position: SF→SD
James Trezise,SD,163,0,0,4,0,0,167,4,619,621,-2,
Harrison Jones,KPF,205,-1,0,5,0,0,209,4,572,586,-14,collateral: position-group ripple
Jayden Laverde,KPD,294,0,0,4,0,0,298,4,512,505,7,
Hugh Bond,SD,194,-1,0,5,0,0,198,4,590,599,-9,collateral: position-group ripple
Paddy Dow,MID,165,0,0,0,0,4,169,4,615,619,-4,
Jack Darling,KPF,199,0,0,4,0,0,203,4,579,593,-14,
Lachlan Jones,SD,152,0,0,4,0,0,156,4,628,628,0,
Tom McDonald,KPD,182,0,0,4,0,0,186,4,600,605,-5,
Jake Stringer,SF,138,0,0,4,0,0,142,4,635,635,0,
Jack Carroll,SD,96,2,0,2,0,0,100,4,668,667,1,EDITED: present_position: MID→SD | 2026 col-bar row MID→col SD
Maurice Rioli,SF,42,0,3,0,0,1,46,4,740,734,6,
Griffin Logue,KPD,126,0,0,4,0,0,130,4,639,637,2,
Tyler Brockman,SF,76,3,0,1,0,0,80,4,699,697,2,collateral: position-group ripple
Jack Scrimshaw,SD,154,0,0,4,0,0,158,4,627,627,0,
Finn Maginness,SF,34,0,3,0,0,1,38,4,758,750,8,EDITED: present_position: MID→SF
Harry Edwards,KPD,157,0,0,4,0,0,161,4,626,624,2,
Jackson Mead,MID,36,0,3,0,0,1,40,4,751,743,8,EDITED: present_position: MID→SF | year0 bar SF→MID
Charlie Spargo,SF,34,0,3,0,0,1,38,4,757,749,8,
Lachlan Sholl,MID,216,0,0,4,0,0,220,4,564,578,-14,
Elijah Hewett,MID,779,-15,0,18,0,0,782,3,288,293,-5,collateral: position-group ripple
Riley Hardeman,SD,320,0,-10,5,0,2,317,-3,489,495,-6,
Harry DeMattia,MID,476,0,-8,0,0,11,479,3,394,399,-5,
Josh Sinn,SD,183,-1,0,4,0,0,186,3,597,604,-7,collateral: position-group ripple
Zac Taylor,SF,258,-3,0,6,0,0,261,3,540,541,-1,collateral: position-group ripple
Oliver Wiltshire,SF,98,0,1,0,0,2,101,3,666,666,0,
Luke Nankervis,MID,457,0,0,11,-8,0,460,3,402,406,-4,year0 bar SD→MID | 2026 col-bar row SD→col MID
Nikolas Cox,MID,174,4,0,3,-4,0,177,3,607,611,-4,EDITED: present_position: MID→KPF | year0 bar KPF→MID
James Tunstill,MID,108,0,0,3,0,0,111,3,656,653,3,
Esava Ratugolea,KPD,117,0,0,3,0,0,120,3,644,645,-1,
Cameron Zurhaar,SF,159,0,0,3,0,0,162,3,624,623,1,
Jack Higgins,SF,132,0,0,3,0,0,135,3,636,636,0,
Oscar Allen,KPF,158,0,0,3,0,0,161,3,625,625,0,
Jackson Macrae,MID,140,0,0,3,0,0,143,3,633,633,0,
Michael Frederick,SF,111,0,0,3,0,0,114,3,651,652,-1,
Lachlan Bramble,SF,94,0,0,3,0,0,97,3,670,669,1,
Harry Perryman,SD,120,0,0,3,0,0,123,3,641,641,0,
Tom Barrass,KPD,113,0,0,3,0,0,116,3,650,650,0,
Ollie Lord,KPF,151,0,0,3,0,0,154,3,630,630,0,
Riley Garcia,SF,113,0,0,3,0,0,116,3,648,649,-1,
Brandon Zerk-Thatcher,KPD,86,0,0,3,0,0,89,3,682,685,-3,
Jamie Cripps,SF,36,0,2,0,0,1,39,3,753,748,5,
James Leake,SF,544,-19,0,12,9,0,546,2,364,370,-6,collateral: position-group ripple | year0 bar SD→SF
Joel Fitzgerald,MID,78,0,0,2,0,0,80,2,695,696,-1,
Bruce Reville,MID,72,0,0,2,0,0,74,2,701,703,-2,
Harry Rowston,MID,642,-12,0,14,0,0,644,2,323,331,-8,collateral: position-group ripple
Luke Kennedy,MID,523,-9,0,11,0,0,525,2,377,378,-1,collateral: position-group ripple
Ewan Mackinlay,SF,45,1,0,1,0,0,47,2,732,733,-1,collateral: position-group ripple
Tom Edwards,KPF,89,0,0,2,0,0,91,2,678,684,-6,
Jack Hutchinson,MID,37,0,0,2,0,0,39,2,749,747,2,
Jack Buller,KPF,91,0,0,2,0,0,93,2,674,676,-2,
Wade Derksen,KPD,84,0,0,2,0,0,86,2,689,690,-1,
Charlie Ballard,KPD,84,0,0,2,0,0,86,2,687,688,-1,
Brandon Walker,SD,91,0,0,2,0,0,93,2,673,675,-2,
Nick Vlastuin,SD,109,0,0,2,0,0,111,2,655,654,1,
Nick Haynes,SD,101,0,0,2,0,0,103,2,662,663,-1,
Dougal Howard,KPD,87,0,0,2,0,0,89,2,681,686,-5,
Lachlan Fogarty,SF,71,0,0,2,0,0,73,2,702,704,-2,
Todd Marshall,KPF,113,0,0,2,0,0,115,2,649,651,-2,
Elliott Himmelberg,KPF,89,0,0,2,0,0,91,2,676,682,-6,
Harry Morrison,MID,53,0,0,2,0,0,55,2,719,719,0,
Caleb Graham,KPD,70,0,0,2,0,0,72,2,703,705,-2,
Matt Guelfi,SF,17,1,0,1,0,0,19,2,785,781,4,collateral: position-group ripple
Nicholas Holman,SF,25,0,2,0,0,0,27,2,774,768,6,
Daniel Butler,SF,19,2,0,0,0,0,21,2,781,777,4,collateral: position-group ripple
Jed Bews,SD,36,-3,0,1,0,0,34,-2,754,755,-1,collateral: position-group ripple
Lachlan Blakiston,KPD,19,0,0,1,0,0,20,1,782,779,3,2026 col-bar row RUCK→col KPD
Cody Angove,SF,562,0,-12,0,0,13,563,1,357,362,-5,year0 bar MID→SF
Charlie West,KPF,613,-25,10,12,0,2,612,-1,332,342,-10,collateral: position-group ripple
Oscar Berry,KPD,93,-3,0,2,0,0,92,-1,671,679,-8,collateral: position-group ripple
Xavier Walsh,KPF,262,-5,0,5,1,0,263,1,538,540,-2,collateral: position-group ripple | year0 bar KPD→KPF
Luke Beecken,MID,20,0,0,1,0,0,21,1,779,778,1,
Jamarra Ugle-Hagan,KPF,354,-10,0,9,0,0,353,-1,463,464,-1,collateral: position-group ripple
Paddy Cross,SF,35,1,0,0,0,0,36,1,756,754,2,collateral: position-group ripple
Liam Puncher,KPD,101,-2,0,3,0,0,102,1,661,664,-3,collateral: position-group ripple
Jesse Motlop,SF,109,-2,0,3,0,0,110,1,654,656,-2,collateral: position-group ripple
Flynn Young,SF,10,1,0,0,0,0,11,1,793,789,4,collateral: position-group ripple
Jack Henderson,SF,6,0,0,1,0,0,7,1,797,797,0,
Liam O'Connell,SD,41,0,0,1,0,0,42,1,742,741,1,
Mykelti Lefau,KPF,37,0,0,1,0,0,38,1,750,752,-2,
Arthur Jones,SF,128,-2,0,3,0,0,129,1,638,639,-1,collateral: position-group ripple
Luke Cleary,SD,77,0,-1,0,0,2,78,1,698,698,0,
Nicholas Coffield,SD,54,0,-1,0,0,2,55,1,718,721,-3,
Andy Moniz-Wakefield,SD,45,-1,0,0,0,0,44,-1,731,736,-5,EDITED: present_position: SF→SD
Corey Durdin,SF,67,0,0,1,0,0,68,1,706,707,-1,
Reef McInnes,KPD,80,0,-1,0,0,2,81,1,694,695,-1,
Jacob Wehr,SD,24,0,0,0,0,1,25,1,775,772,3,
Lachlan McNeil,SF,25,0,0,1,0,0,26,1,773,771,2,
Darcy Fort,RUCK,54,0,0,1,0,0,55,1,716,718,-2,
Lewis Melican,KPD,58,0,0,1,0,0,59,1,712,714,-2,
Corey Wagner,SD,42,0,0,1,0,0,43,1,738,740,-2,
Oscar McDonald,KPD,43,0,0,1,0,0,44,1,736,738,-2,
Jamie Elliott,SF,32,0,1,0,0,0,33,1,762,757,5,
Brody Mihocek,KPF,10,0,0,1,0,0,11,1,791,788,3,
Bradley Close,SF,38,0,0,1,0,0,39,1,746,746,0,
Sam Switkowski,SF,24,0,0,1,0,0,25,1,777,774,3,
Luke McDonald,SD,54,0,-1,0,0,2,55,1,717,720,-3,
Lincoln McCarthy,SF,24,0,0,1,0,0,25,1,776,773,3,
Aidan Corr,KPD,51,0,0,0,0,1,52,1,722,725,-3,
Changkuoth Jiath,SD,30,0,0,1,0,0,31,1,768,765,3,
Callum M. Brown,SF,66,0,0,1,0,0,67,1,707,709,-2,
Toby Pink,KPD,16,0,0,1,0,0,17,1,786,784,2,
Darcy Gardiner,KPD,47,0,0,0,0,1,48,1,728,730,-2,
Bobby Hill,SF,46,0,0,1,0,0,47,1,730,732,-2,
Ben Long,SF,32,0,1,0,0,0,33,1,761,756,5,
Bailey Scott,MID,30,0,0,0,0,1,31,1,767,764,3,
Malcolm Rosas,SF,31,0,0,1,0,0,32,1,765,762,3,
Noah Answerth,SD,31,0,0,0,0,1,32,1,766,763,3,
Liam Ryan,SF,30,0,0,0,0,1,31,1,769,766,3,
Darragh Joyce,KPD,12,0,0,1,0,0,13,1,787,787,0,
Hugo Ralphsmith,MID,44,0,0,1,0,0,45,1,735,735,0,
Liam Stocker,SD,42,0,-2,0,0,1,41,-1,739,742,-3,
Laitham Vandermeer,SF,32,0,1,0,0,0,33,1,763,759,4,
Oskar Baker,SF,32,0,0,0,0,1,33,1,764,760,4,year0 bar MID→SF | 2026 col-bar row SD→col SF
Brandon Starcevich,SD,44,0,-2,0,0,1,43,-1,733,739,-6,
Dylan Patterson,SD,1137,-24,-1,21,0,4,1137,0,211,225,-14,collateral: position-group ripple
Lukas Cooke,KPD,151,-4,0,4,0,0,151,0,629,631,-2,collateral: position-group ripple
Zak Evans,MID,4,0,0,0,0,0,4,0,798,799,-1,
Tom Blamires,SD,95,-2,0,2,0,0,95,0,669,674,-5,collateral: position-group ripple
Flynn Perez,SD,10,0,0,0,0,0,10,0,792,791,1,
Roan Steele,MID,22,-1,0,1,0,0,22,0,778,776,2,collateral: position-group ripple
Ben Jepson,MID,10,0,0,0,0,0,10,0,790,790,0,
Mani Liddy,MID,30,0,0,0,0,0,30,0,770,767,3,
Wil Parker,SD,27,0,0,0,0,0,27,0,772,770,2,
Saad El-Hawli,SD,19,0,0,0,0,0,19,0,783,782,1,
Lachie Sullivan,SF,1,0,0,0,0,0,1,0,803,803,0,
Oisin Mullin,SD,10,0,0,0,0,0,10,0,795,794,1,
James Blanck,KPD,36,0,0,0,0,0,36,0,752,753,-1,
Conor Stone,SD,87,0,-1,0,0,1,87,0,680,687,-7,EDITED: present_position: SF→SD
Finlay Macrae,SF,110,0,-3,0,0,3,110,0,653,655,-2,year0 bar MID→SF
Rhyan Mansell,SF,86,0,0,0,0,0,86,0,686,689,-3,
Jordan Boyd,SD,7,0,0,0,0,0,7,0,796,798,-2,
Lachlan Weller,MID,81,0,-2,0,0,2,81,0,691,694,-3,
Joel Amartey,KPF,57,-2,0,2,0,0,57,0,714,716,-2,collateral: position-group ripple
Hunter Clark,MID,57,0,-1,0,0,1,57,0,713,715,-2,year0 bar SD→MID
Jordon Butts,KPD,17,0,0,0,0,0,17,0,784,783,1,
Mark O'Connor,SD,20,0,0,0,0,0,20,0,780,780,0,2026 col-bar row MID→col SD
Jaeger O'Meara,MID,196,0,-5,0,0,5,196,0,586,601,-15,
Ben McKay,KPD,48,0,0,0,0,0,48,0,724,728,-4,
Rhys Stanley,RUCK,40,0,0,0,0,0,40,0,743,744,-1,
Nathan Broad,SD,10,0,0,0,0,0,10,0,794,793,1,
Ryan Gardner,KPD,33,0,0,0,0,0,33,0,759,761,-2,
Jake Kolodjashnij,KPD,38,0,-1,0,0,1,38,0,747,751,-4,
Alex Pearce,KPD,39,0,0,0,0,0,39,0,744,745,-1,
Harry Schoenberg,SF,56,0,-1,0,1,0,56,0,715,717,-2,year0 bar MID→SF | 2026 col-bar row MID→col SF
Jeremy Sharp,MID,77,-1,0,1,0,0,77,0,697,699,-2,collateral: position-group ripple
Matt Owies,SF,1,0,0,0,0,0,1,0,804,804,0,
Mason Cox,KPF,2,0,0,0,0,0,2,0,801,801,0,
Harry Cunningham,SD,1,0,0,0,0,0,1,0,802,802,0,
