player,pos_before,pos_after,v_baseline,v_after_stageA,v_final,delta_total,delta_stageA,stageA_your_edit_effect,stageA_rebake_effect,your_edit,stageA_cause,delta_stageB,stageB_levers,rank_before,rank_final,rank_move
Kobe McDonald,SD,SD,301,279,286,-15,-22,-22,0,,the 62 edits (gfut cohort),7,played-axis/other,503,517,-14
Willem Drew,MID,MID,721,720,736,15,-1,-1,0,,the 62 edits (gfut cohort),16,played-axis/other,301,303,-2
Ricky Mentha,SF,SF,161,172,176,15,11,11,0,,the 62 edits (gfut cohort),4,played-axis/other,623,615,8
Benny Barrett,SF,SF,161,172,176,15,11,11,0,,the 62 edits (gfut cohort),4,played-axis/other,621,613,8
Lennox Hoffman,SD,SD,299,277,284,-15,-22,-22,0,,the 62 edits (gfut cohort),7,played-axis/other,507,521,-14
Keighton Matofai-Forbes,SD,SF,299,277,284,-15,-22,-22,0,,the 62 edits (gfut cohort),7,year0 bar SD→SF,505,520,-15
Harry Charleson,SD,SD,299,277,284,-15,-22,-22,0,,the 62 edits (gfut cohort),7,played-axis/other,504,519,-15
Nathan Wardius,SF,SF,161,172,176,15,11,11,0,,the 62 edits (gfut cohort),4,played-axis/other,622,614,8
Hudson O'Keeffe,KPF,KPF,286,295,301,15,9,9,0,,the 62 edits (gfut cohort),6,2026 col-bar row RUCK→col KPF,517,503,14
Will McLachlan,SF,SF,162,172,177,15,10,10,0,,the 62 edits (gfut cohort),5,played-axis/other,620,612,8
Logan McDonald,KPF,KPF,706,704,720,14,-2,-2,0,,the 62 edits (gfut cohort),16,played-axis/other,305,309,-4
Charlie Edwards,MID,SD,733,725,747,14,-8,-1,-7,,the 62 edits (gfut cohort),22,year0 bar MID→SD; curve+pool,298,301,-3
Isaac Quaynor,SD,SD,587,587,601,14,0,0,0,,,14,played-axis/other,339,346,-7
Caleb Lewis,KPF,KPF,205,215,219,14,10,10,0,,the 62 edits (gfut cohort),4,played-axis/other,571,579,-8
Max Kondogiannis,SD,SD,578,552,564,-14,-26,-26,0,,the 62 edits (gfut cohort),12,played-axis/other,348,361,-13
Indy Cotton,SD,SF,301,279,287,-14,-22,-22,0,,the 62 edits (gfut cohort),8,year0 bar SD→SF,502,513,-11
Adam Saad,SD,SD,601,602,615,14,1,1,0,,the 62 edits (gfut cohort),13,played-axis/other,336,341,-5
Calsher Dear,KPF,KPF,1002,993,1016,14,-9,-9,0,,the 62 edits (gfut cohort),23,played-axis/other,238,252,-14
Scott Pendlebury,MID,MID,470,470,484,14,0,0,0,,,14,played-axis/other,396,397,-1
Josh Lai,SD,SD,535,537,549,14,2,2,0,,the 62 edits (gfut cohort),12,2026 col-bar row MID→col SD,372,368,4
Billy Dowling,SF,SF,191,200,205,14,9,3,6,,the 62 edits (gfut cohort),5,played-axis/other; curve+pool,591,591,0
Rhett Bazzo,KPD,KPD,584,584,598,14,0,0,0,,,14,played-axis/other,343,348,-5
Max Ramsden,KPF,KPF,233,241,247,14,8,8,0,,the 62 edits (gfut cohort),6,played-axis/other,557,557,0
Dylan Stephens,MID,MID,491,493,505,14,2,2,0,,the 62 edits (gfut cohort),12,played-axis/other,385,383,2
Harry Kyle,SD,SD,1097,1084,1110,13,-13,-13,0,,the 62 edits (gfut cohort),26,played-axis/other,221,232,-11
Will Green,RUCK,RUCK,659,659,672,13,0,0,0,,,13,curve+pool,320,326,-6
Jai Murray,MID,MID,1330,1312,1343,13,-18,-18,0,,the 62 edits (gfut cohort),31,played-axis/other,190,200,-10
Jack Dalton,SF,MID,617,618,630,13,1,-7,8,,the 62 edits (gfut cohort),12,year0 bar SF→MID; curve+pool,329,336,-7
Joshua Kelly,MID,MID,536,535,549,13,-1,-1,0,,the 62 edits (gfut cohort),14,played-axis/other,371,369,2
Tobyn Murray,SF,SF,399,403,412,13,4,0,4,,stage-A v0surf re-bake,9,curve+pool,434,428,6
Balyn O'Brien,SD,SD,362,341,349,-13,-21,-21,0,,the 62 edits (gfut cohort),8,played-axis/other,455,466,-11
Jacob Molier,RUCK,RUCK,489,489,502,13,0,0,0,,,13,curve+pool,387,386,1
Fred Rodriguez,MID,SF,416,416,429,13,0,0,0,,,13,year0 bar MID→SF,419,418,1
Nick Driscoll,MID,SF,416,416,429,13,0,0,0,,,13,year0 bar MID→SF,420,419,1
Tom Brown,SD,SD,577,577,590,13,0,0,0,,,13,played-axis/other,350,350,0
Liam Baker,SD,SD,558,558,571,13,0,0,0,,,13,played-axis/other,359,356,3
James Borlase,KPD,KPD,551,551,564,13,0,0,0,,,13,played-axis/other,360,360,0
Harry Sharp,MID,SF,62,73,75,13,11,11,0,present_position: MID→SF,the 62 edits (own row),2,played-axis/other,708,701,7
Jy Farrar,SD,KPF,11,23,24,13,12,12,0,present_position: SD→KPF,the 62 edits (own row),1,played-axis/other,789,775,14
Shaun Mannagh,SF,SF,704,700,716,12,-4,-4,0,,the 62 edits (gfut cohort),16,played-axis/other,306,312,-6
Tai Hayes,SF,SF,262,268,274,12,6,0,6,,stage-A v0surf re-bake,6,curve+pool,537,527,10
Jaxon Artemis,SD,SD,370,350,358,-12,-20,-20,0,,the 62 edits (gfut cohort),8,played-axis/other,452,461,-9
Alex Dodson,RUCK,KPF,487,487,499,12,0,0,0,,,12,year0 bar RUCK→KPF; curve+pool,388,389,-1
Will Darcy,KPD,KPF,479,480,491,12,1,0,1,,stage-A v0surf re-bake,11,year0 bar KPD→KPF; curve+pool,392,395,-3
Matthew Jefferson,KPF,KPF,487,487,499,12,0,0,0,,,12,played-axis/other,389,390,-1
Max Gruzewski,KPF,KPF,549,548,561,12,-1,-1,0,,the 62 edits (gfut cohort),13,played-axis/other,361,364,-3
Cameron Rayner,SF,SF,870,861,882,12,-9,-9,0,,the 62 edits (gfut cohort),21,played-axis/other,266,272,-6
Francis Evans,SF,SF,468,468,480,12,0,0,0,,,12,played-axis/other,397,398,-1
Will Lorenz,MID,MID,427,429,439,12,2,2,0,,the 62 edits (gfut cohort),10,played-axis/other; curve+pool,414,414,0
Josh Draper,KPD,KPD,525,525,537,12,0,0,0,,,12,played-axis/other,375,374,1
Alex Davies,MID,MID,477,478,489,12,1,1,0,,the 62 edits (gfut cohort),11,played-axis/other,393,396,-3
Liam McMahon,KPF,KPF,197,205,209,12,8,2,6,,the 62 edits (gfut cohort),4,played-axis/other; curve+pool,583,587,-4
Sam Sturt,SF,SF,53,63,65,12,10,0,10,,stage-A v0surf re-bake,2,curve+pool,720,711,9
Koby Coulson,MID,MID,422,424,433,11,2,0,2,,stage-A v0surf re-bake,9,curve+pool,415,416,-1
Charlie Comben,KPD,KPD,1012,1012,1023,11,0,0,0,,,11,played-axis/other,237,249,-12
Eamonn Armstrong,SD,SD,196,181,185,-11,-15,-15,0,,the 62 edits (gfut cohort),4,played-axis/other,585,607,-22
Michael Sellwood,SD,SD,197,203,208,11,6,6,0,,the 62 edits (gfut cohort),5,played-axis/other,584,588,-4
Mitch Zadow,SF,SF,86,94,97,11,8,8,0,,the 62 edits (gfut cohort),3,played-axis/other,685,670,15
Riley Hamilton,SF,SF,329,333,340,11,4,4,0,,the 62 edits (gfut cohort),7,played-axis/other,482,476,6
Rob Monahan,SD,SD,187,171,176,-11,-16,-16,0,,the 62 edits (gfut cohort),5,played-axis/other,594,616,-22
Marc Pittonet,RUCK,RUCK,541,541,552,11,0,0,0,,,11,played-axis/other,368,366,2
James Worpel,MID,MID,490,490,501,11,0,0,0,,,11,played-axis/other,386,387,-1
Mitchell Hinge,SD,SD,468,468,479,11,0,0,0,,,11,played-axis/other,398,400,-2
Jack Bowes,MID,MID,105,113,116,11,8,0,8,,stage-A v0surf re-bake,3,curve+pool,657,647,10
Josh Battle,KPD,KPD,2263,2259,2273,10,-4,-4,0,,the 62 edits (gfut cohort),14,played-axis/other,95,102,-7
Sam Marshall,MID,MID,866,855,876,10,-11,-11,0,,the 62 edits (gfut cohort),21,played-axis/other,268,273,-5
Max Beattie,SF,SF,52,60,62,10,8,8,0,,the 62 edits (gfut cohort),2,played-axis/other,721,712,9
Kye Fincher,MID,SD,391,392,401,10,1,0,1,,stage-A v0surf re-bake,9,year0 bar MID→SD; curve+pool,437,434,3
Riley Onley,MID,MID,416,416,426,10,0,0,0,,,10,played-axis/other,421,421,0
Jack Viney,MID,MID,359,359,369,10,0,0,0,,,10,played-axis/other,459,454,5
Nick Murray,KPD,KPD,438,438,448,10,0,0,0,,,10,played-axis/other,408,411,-3
Oliver Wines,MID,MID,381,381,391,10,0,0,0,,,10,played-axis/other,446,442,4
Sam Butler,SF,SF,100,107,110,10,7,0,7,,stage-A v0surf re-bake,3,curve+pool,663,657,6
Judson Clarke,SF,SF,88,95,98,10,7,0,7,,stage-A v0surf re-bake,3,curve+pool,679,668,11
Hayden McLean,KPF,KPF,377,377,387,10,0,0,0,,,10,played-axis/other,448,445,3
Heath Chapman,SD,SD,483,483,493,10,0,0,0,,,10,played-axis/other,391,393,-2
Ryan Angwin,MID,MID,493,492,503,10,-1,-1,0,,the 62 edits (gfut cohort),11,played-axis/other,384,384,0
Samson Ryan,RUCK,RUCK,410,410,420,10,0,0,0,,,10,played-axis/other,424,424,0
Jacob Hopper,MID,MID,120,127,130,10,7,0,7,,stage-A v0surf re-bake,3,curve+pool,642,638,4
Jade Gresham,SF,SF,49,58,59,10,9,0,9,,stage-A v0surf re-bake,1,curve+pool,723,713,10
Blake Thredgold,KPD,KPD,562,559,571,9,-3,0,-3,,stage-A v0surf re-bake,12,curve+pool,356,355,1
Harry Barnett,RUCK,RUCK,620,620,629,9,0,0,0,,,9,curve+pool,328,338,-10
Toby Conway,RUCK,RUCK,568,568,577,9,0,0,0,,,9,curve+pool,354,353,1
Josh Gibcus,KPD,KPD,205,191,196,-9,-14,-14,0,,the 62 edits (gfut cohort),5,played-axis/other,573,602,-29
Matthew LeRay,MID,MID,381,381,390,9,0,0,0,,,9,curve+pool,445,444,1
Ashton Moir,SF,SF,296,298,305,9,2,-4,6,,the 62 edits (gfut cohort),7,played-axis/other; curve+pool,508,501,7
Liam Fawcett,KPF,KPF,517,514,526,9,-3,-3,0,,the 62 edits (gfut cohort),12,played-axis/other,378,377,1
Brennan Cox,KPD,KPD,376,376,385,9,0,0,0,,,9,played-axis/other,450,447,3
Mason Wood,SF,SF,513,509,522,9,-4,-4,0,,the 62 edits (gfut cohort),13,played-axis/other,380,380,0
Jake Riccardi,KPF,KPF,387,387,396,9,0,0,0,,,9,played-axis/other,440,436,4
Brady Hough,SD,SD,362,362,371,9,0,0,0,,,9,played-axis/other,456,453,3
Jeremy Howe,SD,SD,358,359,367,9,1,1,0,,the 62 edits (gfut cohort),8,played-axis/other,460,456,4
Tom Atkins,MID,MID,410,409,419,9,-1,-1,0,,the 62 edits (gfut cohort),10,played-axis/other,425,425,0
Mabior Chol,KPF,KPF,388,388,397,9,0,0,0,,,9,played-axis/other,439,435,4
Liam Duggan,SD,SD,356,357,365,9,1,1,0,,the 62 edits (gfut cohort),8,played-axis/other,462,457,5
Judd McVee,SD,SD,377,377,386,9,0,0,0,,,9,played-axis/other,449,446,3
Jaxon Prior,SD,SD,381,381,390,9,0,0,0,,,9,played-axis/other,444,443,1
Callum Coleman-Jones,KPF,RUCK,39,47,48,9,8,0,8,,stage-A v0surf re-bake,1,year0 bar KPF→RUCK; curve+pool,745,729,16
Patrick Dangerfield,MID,SF,82,89,91,9,7,0,7,present_position: MID→SF,the 62 edits (own row),2,curve+pool,690,683,7
Jesse Mellor,MID,SF,295,295,303,8,0,0,0,,,8,year0 bar MID→SF,511,502,9
Ben King,KPF,KPF,341,341,349,8,0,0,0,,,8,played-axis/other,472,467,5
Max Knobel,RUCK,RUCK,508,508,516,8,0,0,0,,,8,curve+pool,382,381,1
Angus Hastie,SD,SD,331,331,339,8,0,0,0,,,8,played-axis/other,479,477,2
Milan Murdock,SF,SF,345,345,353,8,0,0,0,,,8,played-axis/other,470,465,5
Leek Aleer,KPD,KPD,279,280,287,8,1,1,0,,the 62 edits (gfut cohort),7,played-axis/other,521,514,7
Sam Clohesy,MID,MID,262,263,270,8,1,1,0,,the 62 edits (gfut cohort),7,played-axis/other,535,535,0
Zane Zakostelsky,KPD,KPD,467,465,475,8,-2,-1,-1,,the 62 edits (gfut cohort),10,played-axis/other; curve+pool,399,402,-3
Kye Annand,KPD,KPD,173,176,181,8,3,3,0,,the 62 edits (gfut cohort),5,played-axis/other,609,609,0
Tom Doedee,SD,SD,353,353,361,8,0,0,0,,,8,played-axis/other,465,460,5
Kaleb Smith,SD,SD,130,119,122,-8,-11,0,-11,,stage-A v0surf re-bake,3,curve+pool,637,643,-6
Corey Warner,SF,SF,74,80,82,8,6,0,6,,stage-A v0surf re-bake,2,curve+pool,700,692,8
Jarrod Berry,MID,MID,324,324,332,8,0,0,0,,,8,played-axis/other,484,484,0
Jesse Hogan,KPF,KPF,321,321,329,8,0,0,0,,,8,played-axis/other,487,489,-2
Mitchell Knevitt,MID,MID,169,173,177,8,4,4,0,,the 62 edits (gfut cohort),4,played-axis/other,610,610,0
Jack Williams,KPF,KPF,532,527,540,8,-5,-5,0,,the 62 edits (gfut cohort),13,played-axis/other,373,373,0
Zach Guthrie,SD,SD,319,319,327,8,0,0,0,,,8,played-axis/other,490,490,0
Ned Reeves,RUCK,RUCK,322,322,330,8,0,0,0,,,8,played-axis/other,486,487,-1
Liam Henry,SF,SF,84,89,92,8,5,0,5,,stage-A v0surf re-bake,3,curve+pool,688,678,10
Hunter Holmes,MID,MID,577,570,584,7,-7,0,-7,,stage-A v0surf re-bake,14,curve+pool,349,351,-2
Riley Bice,SD,SD,333,333,340,7,0,0,0,,,7,played-axis/other,477,475,2
Lewis Hayes,KPD,SD,372,371,379,7,-1,0,-1,,stage-A v0surf re-bake,8,year0 bar KPD→SD; curve+pool,451,449,2
Archie May,KPF,KPF,471,468,478,7,-3,-3,0,,the 62 edits (gfut cohort),10,played-axis/other,395,401,-6
Ben Camporeale,MID,MID,290,291,297,7,1,0,1,,stage-A v0surf re-bake,6,curve+pool,513,506,7
Matt Hill,SF,SD,116,121,123,7,5,5,0,,the 62 edits (gfut cohort),2,year0 bar SF→SD,645,642,3
Archie Perkins,SF,SF,302,302,309,7,0,0,0,,,7,played-axis/other,500,500,0
Cillian Burke,SD,SD,98,89,91,-7,-9,-9,0,,the 62 edits (gfut cohort),2,played-axis/other,665,681,-16
Tom Gross,MID,SF,637,616,644,7,-21,-21,0,,the 62 edits (gfut cohort),28,year0 bar MID→SF,326,332,-6
Clay Hall,MID,MID,347,347,354,7,0,0,0,,,7,played-axis/other; curve+pool,469,463,6
Lucas Camporeale,MID,MID,250,250,257,7,0,0,0,,,7,curve+pool,544,543,1
Brayden Fiorini,MID,MID,278,278,285,7,0,0,0,,,7,played-axis/other,522,518,4
Tom Papley,SF,SF,525,519,532,7,-6,-6,0,,the 62 edits (gfut cohort),13,played-axis/other,376,376,0
Edward Allan,MID,MID,842,829,849,7,-13,-13,0,,the 62 edits (gfut cohort),20,played-axis/other,272,277,-5
Harvey Johnston,SD,SD,250,251,257,7,1,1,0,,the 62 edits (gfut cohort),6,played-axis/other,543,542,1
Steely Green,SF,SF,168,171,175,7,3,3,0,,the 62 edits (gfut cohort),4,played-axis/other,612,617,-5
Noah Long,SF,SF,199,200,206,7,1,1,0,,the 62 edits (gfut cohort),6,played-axis/other,580,590,-10
Charlie Cameron,SF,SF,288,288,295,7,0,0,0,,,7,played-axis/other,515,508,7
Finnbar Maley,KPF,KPF,305,305,312,7,0,0,0,,,7,played-axis/other,499,498,1
Toby Murray,KPF,KPF,284,284,291,7,0,0,0,,,7,played-axis/other,518,512,6
Ben Ainsworth,SF,SF,312,312,319,7,0,0,0,,,7,played-axis/other,494,492,2
Conor Nash,MID,MID,341,341,348,7,0,0,0,,,7,played-axis/other,473,468,5
Blake Acres,MID,MID,244,244,251,7,0,0,0,,,7,played-axis/other,553,551,2
Bailey Laurie,SF,SF,69,74,76,7,5,0,5,,stage-A v0surf re-bake,2,curve+pool,705,700,5
Eric Hipwood,KPF,KPF,44,50,51,7,6,0,6,,stage-A v0surf re-bake,1,curve+pool,734,726,8
Ryan Byrnes,MID,SD,89,94,96,7,5,5,0,present_position: MID→SD,the 62 edits (own row),2,played-axis/other,677,673,4
Jack Martin,SF,SF,97,102,104,7,5,0,5,,stage-A v0surf re-bake,2,curve+pool,667,662,5
Steele Sidebottom,MID,MID,99,104,106,7,5,0,5,,stage-A v0surf re-bake,2,curve+pool,664,660,4
Conor McKenna,SD,SF,2,9,9,7,7,7,0,present_position: SD→SF,the 62 edits (own row),0,,800,795,5
Max King,KPF,KPF,332,332,338,6,0,0,0,,,6,played-axis/other,478,479,-1
Sam Allen,MID,SF,687,676,693,6,-11,0,-11,,stage-A v0surf re-bake,17,year0 bar MID→SF; curve+pool,310,320,-10
Tyan Prindable,MID,MID,601,593,607,6,-8,0,-8,,stage-A v0surf re-bake,14,curve+pool,337,344,-7
Harrison Ramm,KPD,KPD,388,386,394,6,-2,-2,0,,the 62 edits (gfut cohort),8,played-axis/other,438,438,0
Cooper Bell,KPD,KPF,323,321,329,6,-2,0,-2,,stage-A v0surf re-bake,8,year0 bar KPD→KPF; curve+pool,485,488,-3
Luke Urquhart,MID,MID,245,245,251,6,0,0,0,,,6,curve+pool,552,554,-2
Tylar Young,KPD,KPD,313,313,319,6,0,0,0,,,6,played-axis/other,493,493,0
Isaiah Dudley,SF,SF,113,117,119,6,4,4,0,,the 62 edits (gfut cohort),2,played-axis/other,647,646,1
Jack Watkins,MID,SF,3,3,9,6,0,0,0,,,6,year0 bar MID→SF; 2026 col-bar row MID→col SF,799,796,3
Toby McMullin,SF,MID,149,152,155,6,3,3,0,,the 62 edits (gfut cohort),3,year0 bar SF→MID,631,629,2
Zac Banch,SF,SF,42,47,48,6,5,5,0,,the 62 edits (gfut cohort),1,played-axis/other,741,731,10
Campbell Chesser,MID,MID,351,350,357,6,-1,-1,0,,the 62 edits (gfut cohort),7,played-axis/other,466,462,4
Alex Neal-Bullen,SF,SF,420,416,426,6,-4,-4,0,,the 62 edits (gfut cohort),10,played-axis/other,416,420,-4
Blake Howes,SD,SD,334,333,340,6,-1,-1,0,,the 62 edits (gfut cohort),7,played-axis/other,476,474,2
Bailey Macdonald,SD,SD,179,181,185,6,2,2,0,,the 62 edits (gfut cohort),4,played-axis/other,603,606,-3
Will Edwards,KPD,KPD,273,273,279,6,0,0,0,,,6,played-axis/other,526,525,1
Sam Powell-Pepper,SF,SF,272,272,278,6,0,0,0,,,6,played-axis/other,527,526,1
Bayley Fritsch,SF,SF,246,246,252,6,0,0,0,,,6,played-axis/other,550,550,0
Josh Goater,SD,SD,102,94,96,-6,-8,0,-8,,stage-A v0surf re-bake,2,curve+pool,659,671,-12
Toby Bedford,SF,SF,266,266,272,6,0,0,0,,,6,played-axis/other,533,531,2
Robert Hansen,SF,SF,121,124,127,6,3,3,0,,the 62 edits (gfut cohort),3,played-axis/other,640,640,0
Tyson Stengle,SF,SF,249,249,255,6,0,0,0,,,6,played-axis/other,545,549,-4
Harvey Harrison,SF,SF,61,66,67,6,5,0,5,,stage-A v0surf re-bake,1,curve+pool,710,710,0
Cody Weightman,SF,SF,213,214,219,6,1,1,0,,the 62 edits (gfut cohort),5,played-axis/other,567,580,-13
Callum Ah Chee,SF,SF,86,90,92,6,4,0,4,,stage-A v0surf re-bake,2,curve+pool,683,677,6
Oskar Taylor,SD,SD,754,741,759,5,-13,0,-13,,stage-A v0surf re-bake,18,curve+pool,290,298,-8
Harry O'Farrell,KPD,KPD,937,911,932,-5,-26,-26,0,,the 62 edits (gfut cohort),21,played-axis/other,251,263,-12
Joel Cochran,KPD,SD,328,325,333,5,-3,0,-3,,stage-A v0surf re-bake,8,year0 bar KPD→SD; curve+pool,483,481,2
Max Michalanney,SD,SD,568,560,573,5,-8,-8,0,,the 62 edits (gfut cohort),13,played-axis/other,353,354,-1
Patrick Snell,KPD,KPF,246,245,251,5,-1,0,-1,,stage-A v0surf re-bake,6,year0 bar KPD→KPF; curve+pool,551,555,-4
Jaren Carr,SF,SF,213,213,218,5,0,0,0,,,5,curve+pool,568,582,-14
Matt Duffy,SD,KPD,165,153,160,-5,-12,-12,0,,the 62 edits (gfut cohort),7,year0 bar SD→KPD,614,626,-12
Hugo Hall-Kahan,SD,SD,229,228,234,5,-1,-1,0,,the 62 edits (gfut cohort),6,2026 col-bar row MID→col SD,559,568,-9
George Stevens,MID,MID,405,400,410,5,-5,-5,0,,the 62 edits (gfut cohort),10,played-axis/other; curve+pool,429,430,-1
Campbell Gray,KPD,KPD,266,264,271,5,-2,-2,0,,the 62 edits (gfut cohort),7,2026 col-bar row RUCK→col KPD,532,533,-1
Bodie Ryan,SD,SD,337,334,342,5,-3,1,-4,,the 62 edits (gfut cohort),8,played-axis/other; curve+pool,475,472,3
Oliver Hayes-Brown,RUCK,RUCK,274,274,279,5,0,0,0,,,5,played-axis/other,525,524,1
Ben Keays,SF,SF,444,439,449,5,-5,-5,0,,the 62 edits (gfut cohort),10,played-axis/other,407,410,-3
Henry Hustwaite,MID,MID,274,273,279,5,-1,0,-1,,stage-A v0surf re-bake,6,played-axis/other; curve+pool,524,523,1
Darcy Moore,KPD,KPD,232,232,237,5,0,0,0,,,5,played-axis/other,558,564,-6
Sandy Brock,KPD,KPD,262,262,267,5,0,0,0,,,5,played-axis/other,536,537,-1
Shadeau Brain,SD,SD,115,108,110,-5,-7,-7,0,,the 62 edits (gfut cohort),2,played-axis/other,646,658,-12
Daniel McStay,KPF,KPF,234,234,239,5,0,0,0,,,5,played-axis/other,556,561,-5
Taylor Walker,KPF,KPF,214,215,219,5,1,1,0,,the 62 edits (gfut cohort),4,played-axis/other,566,581,-15
Will Hayward,SF,SF,219,219,224,5,0,0,0,,,5,played-axis/other,563,573,-10
Tim Membrey,KPF,KPF,207,207,212,5,0,0,0,,,5,played-axis/other,569,584,-15
Jarrod Witts,RUCK,RUCK,219,219,224,5,0,0,0,,,5,played-axis/other,562,572,-10
Beau McCreery,SF,SF,194,194,199,5,0,0,0,,,5,played-axis/other,588,598,-10
Jack Payne,KPD,KPD,168,168,173,5,0,0,0,,,5,played-axis/other,611,618,-7
Jackson Archer,SD,SD,80,73,75,-5,-7,0,-7,,stage-A v0surf re-bake,2,curve+pool,692,702,-10
Jai Culley,MID,MID,240,240,245,5,0,0,0,,,5,played-axis/other,554,558,-4
Zac Fisher,SF,SF,180,180,185,5,0,0,0,,,5,played-axis/other,602,608,-6
Rhylee West,SF,SF,216,216,221,5,0,0,0,,,5,played-axis/other,565,576,-11
Xavier Duursma,MID,MID,203,203,208,5,0,0,0,,,5,played-axis/other,576,589,-13
Tom Lynch,KPF,KPF,48,51,53,5,3,0,3,,stage-A v0surf re-bake,2,curve+pool,727,724,3
Joel Hamling,KPD,KPD,38,33,33,-5,-5,-9,4,present_position: KPD→KPF; future_position: KPD→KPF,the 62 edits (own row),0,year0 bar KPF→KPD,748,758,-10
Jake Melksham,SF,KPF,48,52,53,5,4,0,4,present_position: SF→KPF,the 62 edits (own row),1,curve+pool,725,723,2
Harley Barker,MID,MID,745,731,749,4,-14,0,-14,,stage-A v0surf re-bake,18,curve+pool,293,300,-7
James Barrat,KPD,KPF,387,383,391,4,-4,0,-4,,stage-A v0surf re-bake,8,year0 bar KPD→KPF; curve+pool,441,440,1
Ollie Murphy,KPD,KPD,288,285,292,4,-3,0,-3,,stage-A v0surf re-bake,7,curve+pool,516,511,5
Harrison Coe,RUCK,RUCK,163,163,167,4,0,0,0,,,4,played-axis/other,618,620,-2
Luke Lloyd,KPF,KPF,283,280,287,4,-3,0,-3,present_position: KPF→KPD,the 62 edits (own row),7,year0 bar KPD→KPF; curve+pool,519,515,4
Hugh Davies,KPD,KPD,310,307,314,4,-3,0,-3,,stage-A v0surf re-bake,7,curve+pool,495,497,-2
Sam Davidson,SF,SF,78,80,82,4,2,0,2,,stage-A v0surf re-bake,2,2026 col-bar row MID→col SF; curve+pool,696,693,3
Riak Andrew,KPD,KPD,296,294,300,4,-2,0,-2,,stage-A v0surf re-bake,6,curve+pool,510,504,6
Billy Cootee,MID,MID,101,103,105,4,2,0,2,,stage-A v0surf re-bake,2,curve+pool,660,661,-1
Jed Adams,KPD,KPD,267,264,271,4,-3,0,-3,,stage-A v0surf re-bake,7,curve+pool,531,534,-3
Reece Torrent,MID,MID,198,198,202,4,0,0,0,,,4,curve+pool,581,595,-14
Will Lewis,KPF,KPF,12,15,16,4,3,3,0,,the 62 edits (gfut cohort),1,played-axis/other,788,785,3
Harvey Gallagher,SF,SD,138,138,142,4,0,0,0,present_position: SF→SD,,4,curve+pool,634,634,0
James Trezise,SD,SD,163,163,167,4,0,0,0,,,4,played-axis/other,619,621,-2
Harrison Jones,KPF,KPF,205,204,209,4,-1,-1,0,,the 62 edits (gfut cohort),5,played-axis/other,572,586,-14
Jayden Laverde,KPD,KPD,294,294,298,4,0,0,0,,,4,played-axis/other,512,505,7
Hugh Bond,SD,SD,194,193,198,4,-1,-1,0,,the 62 edits (gfut cohort),5,played-axis/other,590,599,-9
Paddy Dow,MID,MID,165,165,169,4,0,0,0,,,4,curve+pool,615,619,-4
Jack Darling,KPF,KPF,199,199,203,4,0,0,0,,,4,played-axis/other,579,593,-14
Lachlan Jones,SD,SD,152,152,156,4,0,0,0,,,4,played-axis/other,628,628,0
Tom McDonald,KPD,KPD,182,182,186,4,0,0,0,,,4,played-axis/other,600,605,-5
Jake Stringer,SF,SF,138,138,142,4,0,0,0,,,4,played-axis/other,635,635,0
Jack Carroll,MID,SD,96,98,100,4,2,2,0,present_position: MID→SD,the 62 edits (own row),2,2026 col-bar row MID→col SD,668,667,1
Maurice Rioli,SF,SF,42,45,46,4,3,0,3,,stage-A v0surf re-bake,1,curve+pool,740,734,6
Griffin Logue,KPD,KPD,126,126,130,4,0,0,0,,,4,played-axis/other,639,637,2
Tyler Brockman,SF,SF,76,79,80,4,3,3,0,,the 62 edits (gfut cohort),1,played-axis/other,699,697,2
Jack Scrimshaw,SD,SD,154,154,158,4,0,0,0,,,4,played-axis/other,627,627,0
Finn Maginness,MID,SF,34,37,38,4,3,0,3,present_position: MID→SF,the 62 edits (own row),1,curve+pool,758,750,8
Harry Edwards,KPD,KPD,157,157,161,4,0,0,0,,,4,played-axis/other,626,624,2
Jackson Mead,MID,MID,36,39,40,4,3,0,3,present_position: MID→SF,the 62 edits (own row),1,year0 bar SF→MID; curve+pool,751,743,8
Charlie Spargo,SF,SF,34,37,38,4,3,0,3,,stage-A v0surf re-bake,1,curve+pool,757,749,8
Lachlan Sholl,MID,MID,216,216,220,4,0,0,0,,,4,played-axis/other,564,578,-14
Elijah Hewett,MID,MID,779,764,782,3,-15,-15,0,,the 62 edits (gfut cohort),18,played-axis/other,288,293,-5
Riley Hardeman,SD,SD,320,310,317,-3,-10,0,-10,,stage-A v0surf re-bake,7,played-axis/other; curve+pool,489,495,-6
Harry DeMattia,MID,MID,476,468,479,3,-8,0,-8,,stage-A v0surf re-bake,11,curve+pool,394,399,-5
Josh Sinn,SD,SD,183,182,186,3,-1,-1,0,,the 62 edits (gfut cohort),4,played-axis/other,597,604,-7
Zac Taylor,SF,SF,258,255,261,3,-3,-3,0,,the 62 edits (gfut cohort),6,played-axis/other,540,541,-1
Oliver Wiltshire,SF,SF,98,99,101,3,1,0,1,,stage-A v0surf re-bake,2,curve+pool,666,666,0
Luke Nankervis,SD,MID,457,457,460,3,0,0,0,,,3,year0 bar SD→MID; 2026 col-bar row SD→col MID,402,406,-4
Nikolas Cox,MID,MID,174,178,177,3,4,4,0,present_position: MID→KPF,the 62 edits (own row),-1,year0 bar KPF→MID,607,611,-4
James Tunstill,MID,MID,108,108,111,3,0,0,0,,,3,played-axis/other,656,653,3
